"lang	form	an3_notflat	n3	"
"CMUDict10000	CBXmNvn1 VAYuNvo1 CTXmNvn1 CTXtNfo1	-9.74542817149	-9.72598173575	"
"CMUDict10000	CBXmNvn1 VAYuNvo1 CTXmNvn1 CTXsNfo1	-10.2644217213	-10.2657801978	"
"CMUDict10000	CTXmNvn1 VEYuNvo1 CTXtNfo1	-10.5642159326	-10.6490305798	"
"CMUDict10000	CTXmNvn1 VEYuNvo1 CKXtNfo1	-8.6357258981	-8.69086339852	"
"CMUDict10000	CTXmNvn1 VEYuNvo1 CTXsNfo1	-11.5082708399	-11.3867209207	"
"CMUDict10000	CTXmNvn1 VEYuNvo1 CBXmNvn1	-12.1926661209	-12.3020585613	"
"CMUDict10000	CTXmNvn1 VEYuNvo1 CTXmNvn1	-10.7069926049	-10.6845453036	"
"CMUDict10000	CTXmNvn1 VEYuNvo1 CTXlLvo1	-11.8220847737	-11.914228373	"
"CMUDict10000	CTXmNvn1 VEYuNvo1 CTXrNvo1	-11.4246179452	-11.6838650785	"
"CMUDict10000	CTXmNvn1 VBYuNvo1 CTXtNfo1	-9.07944172499	-9.11220443369	"
"CMUDict10000	CTXmNvn1 VBYuNvo1 CKXtNfo1	-10.205917673	-10.3243235887	"
"CMUDict10000	CTXmNvn1 VBYuNvo1 CTXsNfo1	-10.16617838	-10.1439406294	"
"CMUDict10000	CTXmNvn1 VBYuNvo1 CBXmNvn1	-12.1797713496	-12.1706135989	"
"CMUDict10000	CTXmNvn1 VBYuNvo1 CTXmNvn1	-12.1520025171	-12.4300366134	"
"CMUDict10000	CTXmNvn1 VBYuNvo1 CTXlLvo1	-9.90247143368	-9.87818445784	"
"CMUDict10000	CTXmNvn1 VBYuNvo1 CTXrNvo1	-10.6611181973	-10.5810819441	"
"CMUDict10000	CTXmNvn1 VAYuNvo1 CTXtNfo1	-11.0224425317	-10.9169550972	"
"CMUDict10000	CTXmNvn1 VAYuNvo1 CKXtNfo1	-9.81091712022	-9.75246453954	"
"CMUDict10000	CTXmNvn1 VAYuNvo1 CTXsNfo1	-10.7806584014	-11.1668353244	"
"CMUDict10000	CTXmNvn1 VAYuNvo1 CBXmNvn1	-10.7812693207	-11.0344959147	"
"CMUDict10000	CTXmNvn1 VAYuNvo1 CTXmNvn1	-10.3669264617	-10.3580484277	"
"CMUDict10000	CTXmNvn1 VAYuNvo1 CTXlLvo1	-12.7912878749	-12.8048558449	"
"CMUDict10000	CTXmNvn1 VEYuNvo1 CTXrNvo1 CTXtNfo1	-14.8314087749	-15.0426423163	"
"CMUDict10000	CTXmNvn1 VEYuNvo1 CTXrNvo1 CKXtNfo1	-18.8253403979	-19.0859644911	"
"CMUDict10000	CTXmNvn1 VEYuNvo1 CTXrNvo1 CTXsNfo1	-16.4352907806	-16.7368032355	"
"CMUDict10000	CTXmNvn1 VEYuNvo1 CTXlLvo1 CTXtNfo1	-15.9185127956	-16.0282026298	"
"CMUDict10000	CTXmNvn1 VEYuNvo1 CTXlLvo1 CTXsNfo1	-17.9798085357	-18.1373376323	"
"CMUDict10000	CTXmNvn1 VBYuNvo1 CTXlLvo1 CTXtNfo1	-12.6347992935	-12.6233930894	"
"CMUDict10000	CTXmNvn1 VBYuNvo1 CTXlLvo1 CTXsNfo1	-15.1907661495	-15.2072847346	"
"CMUDict10000	CTXmNvn1 VAYuNvo1 CTXlLvo1 CTXtNfo1	-14.5516656386	-14.5561229366	"
"CMUDict10000	CTXmNvn1 VAYuNvo1 CTXlLvo1 CTXsNfo1	-15.8395861802	-15.8717472085	"
"CMUDict10000	CTXmNvn1 VEYuNvo1 CTXmNvn1 CTXtNfo1	-12.6991588478	-12.6637570923	"
